label,sentence1
1,"we conclude that we are required to hold that the specific offense designated as the object of the conspiracy in a  371 indictment does constitute an element of the offense, and we therefore overrule our opinion holding to the contrary, united states v. alerta, 96 f.3d 1230, 1239 (9th cir. 1996), overruled on other grounds by united states v. nordby"
1,we rejected the application of the collateral order doctrine set forth in cohen v. beneficial industrial loan corp.
0,"2. discussion. ordinarily, a guilty plea """"by its terms waives all nonjurisdictional defects."""""
0,iv. referencing prior lawsuits.
0,appellant now appeals from his two convictions for the felony offense of    aggravated assault against a public servant and his conviction for the felony offense of aggravated assault against a family or household member and the resulting concurrent sentences of seventy years for each conviction.
0,"youngkin v. hines, 546 s.w.3d 675, 680 (tex. 2018)."
0,"crim. app. sept. 25, 2012), perm. app. denied (tenn."
0,the issue of preservation of a challenge to a jury instruction has developed over time in this commonwealth.
0,"on appeal, mr. young asserts the district court erred by determining the minor victim, fh, was competent to testify."
1,any expressions in the earlier cases to the contrary are overruled.
0,[citation omitted].
0,"see  anderson v. state, 18 so.3d 501, 520 (fla.2009) (rejecting a claim of cumulative error when appellant's claims, addressed individually, did not establish ineffective assistance of counsel or that appellant's constitutional rights were violated) (citing israel v. state, 985 so.2d 510, 520 (fla.2008)); suggs v. state, 923 so.2d 419, 441 (fla.2005) (stating the cumulative effect of evidentiary errors and allegations of ineffective assistance of trial counsel will be considered together)."
1,"the reiterations of statements from the city of pasadena case in water users etc. assn. v. railroad com., 188 cal. 437, 443 [3] [ 205 p. 682] and baldwin v. railroad com., 206 cal. 581, 587 [3] [ 275 p. 425], also are disapproved."
0,"in reaching this conclusion, the court stated that it believed the sequence of events as documented in kinney's arrest report that the officer was beginning to pat down defendant when defendant dropped the backpack."
0,"moreover, the confrontation."
0,"""""stated differently, relief may be granted only where there 'is a probability sufficient to undermine confidence in the outcome,' i.e., there is a 'substantial, not just conceivable, likelihood of a different result.'"""""
0,"pt today, inc v comm'r of office of fin & ins servs, 270 mich app 110, 127; 715  nw2d 398 (2006) (quotation marks, citations, and brackets omitted)."
1,"to the extent they are inconsistent with our analysis, we disapprove darden v. general motors corp., supra, 40 cal.app.4th 342, and its progeny, barr v. acands, inc. (1997) 57 cal.app.4th 1038."
0,"see bernhardt v. state, 684 n.w.2d 465, 476-77 (minn."
0,  28 the first requirement of the tacit admission rule actually has two parts: that the statement was incriminating and that the natural reaction of an innocent person would be to deny it.
0,see id. at 847-850.
1,"both anderson, supra, and page, supra, are now expressly overruled."
0,"moreover, here, it was not only foreseeable that the co-employees would negligently fail to install the guardrails, it had actually occurred many times in the past."
0,aclu pretrial justice manual at 42.
0,"because c.o.'s responses to the district court's questions during the competency inquiry independently supported the court's on-the-record competency ruling, the district court's purported reliance on c.o.'s trial testimony in making its ruling was inconsequential."
1,"given the supreme court's decision in gaudin, we conclude that beuttenmuller's holding that materiality under section 1006 is a question of law for the court has been overruled."
1,"to the extent that the holding in travelers ins. co. v. fancher, supra, is inconsistent with our holding here, it is overruled."
1,"cases in which it has been held or assumed that those rules apply to reinstated appeals are disapproved insofar as they are inconsistent with the views expressed herein (e.g., people v. jaquish (1966) 244 cal.app.2d 444, 448 [ 53 cal.rptr. 123]; people v. boyden (1965) 237 cal.app.2d 695, 697 [ 47 cal.rptr. 136]; people v. garner (1965) 234 cal.app.2d 212, 215, fn. 1 [ 44 cal.rptr. 217]; people v. benavidez."
1,"after carefully weighing considerations of stare decisis against the persuasive criticisms of the dupuy rule, we conclude that this artificial and potentially harmful rule must be abandoned."
0,a close reading of the record in this case shows that applicant has established that he has significant deficits in his adaptive functioning so as to support the habeas court's determination that he is intellectually disabled under current medical standards.
0,"although the jury could have concluded appellant was in some state of fear, """"a mere claim of fear"""" by a defendant does not, standing alone, establish the existence of sudden passion arising from an adequate cause."
1,"for the reasons that follow, we overrule the simpson decision."
1,"having concluded that the statutory analysis set forth in shannon, part ii was fundamentally flawed, we now depart from its holding that krs 503.120 (1) precludes the assertion of self-protection and the other krs chapter 503 justifications as defenses to charges of wanton murder, second-degree manslaughter, or reckless homicide (as well as to charges of wanton or reckless assault), and reinstate the holdings in thompson v. commonwealth, supra, and kohlheim v. commonwealth."
0,a majority of the active judges of this court have voted to dissolve the en banc court.
1,"to the extent that foster holds otherwise, it is overruled."
1,"for the reasons that follow, we approve the fourth district's decision below, reversing the trial court's dismissal of respondents' title ix claim, and disapprove the line of cases that establishes a bright-line rule that an amendment asserting a new cause of action cannot relate back to the filing of the original complaint."
0,our supreme court held the trial court's order did not violate separation of powers principles despite the fact that a legislative committee deleted a line-item appropriation for this particular fee award.
1,"upon the authority of odom, we hereby recede from our inadvertent comment in singleton."
0,"2 k. o'malley, j. grenig, & w. lee, federal jury practice and instructions: criminal  31:03, p. 225 (6th ed. 2008) (emphasis added); see also id.,  31:02, at 220 (explaining that a defendant must """"intend to agree and must intend that the substantive offense be committed """" (emphasis added))."
0,id. at 133.
0,"wheeler points to no state statute that would authorize appointed counsel for his  1983 claims, and his constitutional claims find no support in our precedent."
1,"any statements in decisions of the district courts of appeal contrary to the rule announced in this decision are disapproved, e.g., cherry v. hayden, 100 cal.app.2d 416 [ 223 p.2d 878]; popcorn equipment co. v. page, 92 cal.app.2d 448 [ 207 p.2d 647]; olds v. peebler, 66 cal.app.2d 76 [ 151 p.2d 901]; liberty mut. ins. co. v. superior court, 62 cal.app.2d 601 [ 145 p.2d 344]; johnston v. ota, 43 cal.app.2d 94 [ 110 p.2d 507]; estate of fulton, 8 cal.app.2d 423 [ 48 p.2d 120]; plum v. indian valley bank, 118 cal.app. 13 [ 4 p.2d 543]."
0,husband contends that recitation of the terms of an agreement into the record is sufficient to satisfy section 31-15-2-17(a)'s writing requirement.
1,"the decision in southwestern bell tel. co. v. nelson, supra, no longer should be considered as expressive of law applicable to the issue."
0,"see maples v. state, 758 so. 2d 1, 25 (ala. crim. app. 1999) (holding that, although the police were armed with guns at the time of the search, there was no indication that they used the guns to coerce the appellant into consenting to the search)."
1,"we now disavow that part of the opinion in apple which takes into account only the former ""commencement"" date."
1,"in light of the unmistakable language in lincoln savings loan that ""the presence of an ensuing benefit ... is not controlling,"" we conclude that such parts of richmond television, darlington-huntsville, and georator as may be interpreted as establishing a one-year standard for distinguishing between capital and current costs, are no longer authoritative."
0,"in reviewing the evidence for legal sufficiency, we determine whether all of the evidence, when viewed in the light most favorable to the challenged finding, is such that a factfinder could reasonably form a firm belief or conviction that the challenged finding is true."
1,"##coito v. superior court, reversed not overruled"
1,and we therefore disapprove of wyche to the extent it holds to the contrary.
1,"to the extent that this court's decision in harris is inconsistent with this opinion, it is expressly overruled."
0,"the assistant state's attorney's actions may or may not have been inadvertent; however, it is still the role of the prosecutor to present the  pertinent law to the grand jury. di vincenzo, 183 ill.2d at 254, 233 ill.dec. 273, 700 n.e.2d 981. subjecting a defendant to criminal prosecution in this case based on the state's incorrect presentation of the law to the grand jury deprived him of his right to due process, whether the assistant state's attorney's actions were intentional or not."
0,"in re t.p., 12th dist. butler no. ca2015-08-164, 2016-ohio-72,  19."
1,"our decisions in moreno v. nelson, supra, baskerville v. nelson, supra, turner v. lloyd, supra, and conway v. wilson, supra, to the extent that they are inconsistent with this opinion, are overruled."
1,"to the extent that lee v. state, 490 p.2d 1206, 1210 (alaska 1971), holds otherwise, we hereby overrule that case."
1,"to the extent inconsistent with today's decision, lyman v. national mortgage bond corp. is overruled"
0,"again, a couple of times, gdowski seemed to loosely reference a two-year opportunity given to russell at the lapeer store with assurance pay."
0,"see holbrook, 475 us at 569-571."
1,"to the extent that our writing in hilltop village is inconsistent with what is said here, the former opinion is overruled."
0,"siewe v. gonzales, 480 f.3d 160, 170 (2d cir. 2007) (""""[a] single false document or a single instance of false testimony may (if attributable to the petitioner) infect the balance of the alien's uncorroborated or unauthenticated evidence."""")."
0,"an """"advertising structure"""" """"means a structure of any kind or character erected, used, or maintained for outdoor advertising purposes, upon which any poster, bill, printing, painting or other advertisement of any kind whatsoever may be   placed . . . ."""" ( 5203.)"
0,"in din, justice kennedy reiterated that """"respect for the political branches' broad power over the creation and administration of the immigration system"""" meant that the government need provide only a statutory citation to explain a visa denial."
1,"because we find that the crane case was wrongfully decided, we overrule that decision and reverse the trial court's order dismissing muhammad's claims."
0,"thus, the record reflects the prosecutor permissibly commented on what the evidence was expected to show at trial, and we find no error as alleged by defendant."
0,"""""a defendant is entitled to  a jury trial . . . only if he can demonstrate"""" that those penalties - which consist of """"the maximum authorized period of incarceration"""" together with """"any additional statutory penalties"""" - """"are so severe that they clearly reflect a legislative determination that the offense in question is a 'serious' one."""""
0,"we simply stated that """" '[i]n its discretion, a reviewing court """"may reduce the degree of an offense to a lesser[-]included offense when the evidence fails to prove the defendant guilty beyond a reasonable doubt of the greater offense."""""
0,"see united states v. houston, 813 f.3d 282, 296 (6th cir. 2016)."
0,"the majority's holding that """"a police officer  being 'familiar with' a resident of an area where the officer works does not, by itself, reasonably imply a prior bad act by that person"""" is contrary to this well-established case law."
1,"to the extent that this court's opinion in doseck held otherwise, it is hereby overruled."
0,id. at 78-79 (3).
0,"the court found that the assault occurred while children were present, causing them emotional trauma."
1,"because brown is inconsistent with both the plain language of the mail fraud statute and precedents of the supreme court, we overrule brown and hold that the district court did not err when it gave the pattern jury instruction for mail fraud."
0,"in determining whether a complaint has alleged a plausible claim for relief, we """"consider the complaint in its entirety, as well as other sources courts ordinarily examine when ruling on rule 12(b)(6) motions to dismiss, in particular, documents incorporated into the complaint by reference, and matters of which a court may take judicial notice."""""
1,"insofar as brachbill is read to mean pecuniary inducement alone will suffice without proof of intimidation, it is disapproved."
0,"finally, sandoval relies on boget v. state, 74 s.w.3d 23 (tex. crim. app. 2002), for the proposition that the key inquiry in evaluating whether the law of self-defense applies in a case is whether the defendant directed his force against another."
0,"finally, clifford sought to initiate a mortgage fraud complaint, and in connection with that he gave a written statement to mary jones in which it appears that he lied when he claimed that neither he nor mary had attended the nautica property closing and when he claimed that he got $312,500 to purchase the nautica property """"[f]rom the proceeds from the farmington hills purchase."""""
0,"elliot podhorzer, esq., court attorney for the subject child, having moved on the child's behalf for leave to respond, as a poor person, to the appeal taken from two orders of the family court, new york county, entered on or about april 26, 2018 and may 2, 2018, and for assignment of counsel, a free copy of the transcript, and for related relief, now, upon reading and filing the papers with respect to the motion, and due deliberation having been had thereon, it is ordered that the motion is granted to the extent of (1) assigning, pursuant to 1120 of the family court act, hani m. moskowitz, esq., 225 broadway, suite #715, new york, ny 10007, telephone no. (212) 227-8208, as counsel for purposes of responding to the appeal; (2) permitting movant to respond to the appeal upon a reproduced respondent's brief, on condition that one copy of such brief be served upon the attorney for respondent-appellant and 8 copies thereof are filed with this court."
1,the majority wisely corrects our mistake in mendiola by overruling that case's interpretation of these rules.
0,"second, the district court may also measure the defendant's role against other participants, to the extent they are discernable, in that relevant conduct."
1,we disapprove orange county v. sealy to the extent that it conflicts with this decision.
1,"to the extent that jennings is inconsistent with our holding herein, it is hereby disapproved."
0,"barclay's rule 60(b) motion was a """"true"""" one, and not a second or successive habeas petition, because it alleged """"a defect in the integrity of the federal habeas proceeding."""""
0,"until those fact findings are made in a bench trial, it cannot be determined what is or is not necessary under the ada."
0,"an abuse of discretion occurs if the court """"'fails to apply the proper legal standard or to follow proper procedures in making the determination, or bases an award upon findings of fact that are clearly erroneous.'"""""
1,"therefore, we overrule the case of martin v. vapor honing company insofar as it conflicts with this decision."
1,"for the same reason, we disapprove dictum in people v. rivera (1985) 41 cal.3d 388 [ 221 cal.rptr. 562, 710 p.2d 362] to the effect that the rule of burton, supra, 6 cal.3d 375, survives the high court's holding in fare, supra, 442 u.s. 707, as a ""component of the state constitutional privilege against self-incrimination."""
0,"in nomura, the defendant was charged with physically abusing his wife, the complaining witness."
1,"however, we now specifically overrule the holdings in the case of city of kingfisher v. altizer, 13 okla. 121, 74 p. 107, and other cases of similar import of effect that plaintiff in an action for personal injury need not in any case submit to a physical examination."
1,"to the extent larabee is contrary to this opinion, it is overruled."
1,"in accordance with the above principles, we overrule bates v. donnafield, supra, insofar as it denied a woman a cause of action for loss of consortium."
1,"we disapprove cristich v. allen engineering, inc., 458 so.2d 76 (fla. 5th dca 1984), to the extent it conflicts with the present opinion."
1,"with regard to the conflict cases, we disapprove the decisions in israel and miller to the extent that they rejected the inherent authority of the trial court as a basis for awarding attorneys' fees."
1,we granted certiorari in light of disagreement among the circuits.
1,"to the extent doneff v. treasurer of state of missouri , 965 s.w.2d 255 (1998), and brown are contrary to this opinion, they are overruled."
1,we thus disapprove of the language of these court of appeals cases to the extent that they hold or suggest otherwise.
0,"in re carrington h., 483 s.w.3d 507, 522 (tenn."
1,"as such, la.civ. code art. 2365 is not applicable to the matter before us, and we specifically overrule this holding in nash."
0,"however, standing, a component of a court's subject-matter jurisdiction, cannot be conceded or waived."
0,"rivera was eighteen at the time and living under the care of her mother, correa, and her stepfather, julio escobar. rivera was taken to a hospital, where she was treated for seizure disorder."
0,"specifically, we explained:"
0,"thus, we reverse such a denial """"only if the evidence points so strongly and so overwhelmingly in favor of the nonmoving party that no reasonable juror could return a contrary verdict."""""
1,"the case of state ex rel. city of st. louis v. public service commission, 362 mo. 977, 245 s.w.2d 851, which the principal opinion overrules, was, in my opinion, soundly ruled and should be followed."
0,"busby, 253 s.w.3d at 663."
0,"rather, the court would consider it an action for """"recovery"""" of property under article 2934, which is exempt."
1,"however, our analysis is contrary to the rationale, if not the holding, of in re estate of gainer, 579 so.2d 739, which stressed the lack of proof of a gift inter vivos in concluding that the statutory presumption had been rebutted."
1,any language in the crouch opinion contrary to this opinion is disapproved.
1,"accordingly, we now overrule hall v. state, supra, and its progeny, to the extent these cases hold that it is not error for a trial court to refuse to give a requested instruction on accomplice corroboration so long as the state relies in part on other evidence connecting the defendant to the crime."
1,"to the extent that the miller case may be construed as declaring unlawful the picketing of a business by non-employees, it is no longer authoritative."
0,"""""sitting in equity, the district court is a 'court of conscience.'"""""
0,fww raises essentially the same argument here.
0,"""""however, before projected earnings from other employment opportunities not sought or accepted by the discharged employee can be applied in mitigation, the employer must show that the other employment was comparable, or substantially similar, to that of which the employee has been deprived; the employee's rejection of or failure to seek other available employment of a different or inferior kind may not be resorted to in order to mitigate damages."
1,"to the extent the holdings in glick, contestible, moreland and sunshine realty are in conflict with the requirements of due process, they are overruled."
0,"unlike the situation where there is no forum-selection clause, the plaintiff """"must bear the burden of showing why the court should not transfer the case to the forum to which the parties agreed."""""
1,"turning first to the most important factor, we already have seen that the cursory analysis in division 2 of harrison and its progeny is unsound and inconsistent with the proper interpretation of statutes similar to ocga  5540 (a)."
1,"to the extent that tracy v. macintyre, 29 cal.app.2d 145 [ 84 p.2d 526], is inconsistent with the views expressed herein, that case is disapproved."
0,"see, e.g., united states v. coven, 662 f.2d 162, 176 (2d cir. 1981)."
0,"because kibria's claims were all based on the same factual predicate, the adverse credibility ruling is dispositive of asylum, withholding of   removal, and cat relief."
0,"id. (quoting riyaz a. kanji, the proper scope of pendent appellate jurisdiction in the collateral order context, 100 yale l.j. 511, 530 (1990))."
0,"davis' attempt to limit the holding of johnson to only those future creditors who have """"parted with money in favor of a property owner"""" is unpersuasive."
1,"based on the holding in mitchell, the primary basis for the holding in osorio no longer remains sound."
1,"insofar as it is inconsistent with this conclusion the opinion of this court in people v. ruef, supra, 14 cal.app. 576, 623-632, is overruled."
0,"the court must grant a directed verdict if, after construing the evidence most strongly in favor of the nonmoving party, it finds that reasonable minds could come to but one conclusion on any determinative issue and that conclusion is adverse to the nonmoving party."
1,"to the extent that this ruling is inconsistent with thomas v. state, 824 so.2d 1 (ala.crim.app. 1999), davenport v. city of birmingham, 570 so.2d 1298 (ala.crim.app. 1990), ex parte williams, 468 so.2d 99 (ala. 1985), and howard v. state, 108 ala. 571, 18 so. 813 (1895), those cases are overruled."
0,"debilitating medical condition means cancer, glaucoma, positive status for human immunodeficiency virus (hiv), acquired immune deficiency syndrome (aids), hepatitis c, amyotrophic lateral sclerosis (als), crohn's disease, parkinson's disease, multiple sclerosis or other conditions for which a physician believes that the medical use of marijuana would likely outweigh the potential health risks for a patient."
1,"to the extent that fiscal court of jefferson county v. ogden, ky.app. 556 s.w.2d 899 (1977) conflicts with the opinion in this case, it is overruled."
1,"we therefore recede from our opinion in clark v. muldrew, supra."
1,"to the extent that our previous opinion in state of louisiana, and ralph slaughter, secretary, department of revenue and taxation v. bp exploration oil inc., 95-2031 (la.app. 4 cir. 1/31/96), 667 so.2d 1219 conflicts with this decision, it is overruled."
0,"as the comments to the nca suggest, this approach to calculating deficiencies is """"the more equitable approach"""" that properly balances the concerns of creditors left with large unpaid   balances when a consumer defaults after purchase and the interest in shielding consumers from unnecessary or unnecessarily inflated deficiency claims."
1,"therefore, to the extent that swindle is inconsistent with ely and this decision, it is overruled."
0,the question in katzenbach had nothing to do with stand-alone judicial power under the fourteenth amendment.
0,"mass transit admin. v. granite constr. co., 57 md. app. 766, 773-74 (1984)."
1,"to the extent davies is read to give a purchaser who is not also the judgment creditor the unilateral right to withdraw their bid before confirmation, we reject this reading."
0,68 and yet the court's analysis unmistakably demanded of mr. talley something more than notice-pleading.
0,"the memorandum highlights that, for the first time, this court held that """"whether something is well-understood, routine, and conventional to a skilled artisan at the time of the patent is a factual determination."""""
0,"wages are considered """"due"""" within the meaning of section 206 either when the employer concedes they are due or, when following investigation and hearing, the labor commissioner rules they must be paid."
1,"insofar as the givens case holds contrary to our original opinion herein or to the rule expressed in the carr case and the cases there cited, it is expressly overruled."
0,"there is substantial evidence to support the trial court's findings that garcia was present for the signing of the subcontract, garcia helped mata run fast & neat, and the plaintiffs were employees of and paid by fast & neat."
0,"tex. r. civ. p. 166a(c); margetis v. frost nat'l bank, no. 02-12-00027-cv, 2012 wl 4936611, at *2 (tex. app.fort worth oct. 18, 2012, no pet.) (mem. op.). here, palacios is not arguing that patel failed to establish her entitlement to summary judgment as a matter of law."
1,"we expressly disapprove and overrule the procedure of converting the appeal from a non-final judgment to a supervisory writ and then considering the merits, as was done in karim v. finch shipping co., ltd., and walker, bordelon, hamlin, theriot and hardy, etc. v. dowe."
1,"whatever may be said for the proposition that vines was overruled sub silentio by spears, we conclude that insofar as it stands for the proposition that a utility company owes no duty to persons who may, through foreseeable negligence, come in contact with its poles, vines must be overruled."
0,ordering the parties to recalculate was not erroneous burden-shifting.
1,we now expressly overrule the bowers and braden courts and hold that the plaintiff's minority does not toll the medical malpractice statute of repose.
1,"in fenelon v. state, 594 so.2d 292 (fla. 1992), the supreme court disapproved the giving of the flight instruction on the ground that it constitutes an impermissible comment upon the evidence."
0,"to the contrary, it forms the basis of his ineffectiveness claim."
1,"statements in the following cases inconsistent with this holding are disapproved: allen v. department of personnel administration, supra; phillips v. state personnel bd., supra; harris v. state personnel bd., supra; goggin v. state personnel bd., supra; zike v. state personnel bd., supra; curia v. civil service com., supra; armistead v. state personnel bd., supra; and willson v. state personnel bd., supra"
0,but there is little basis for this belief.
1,"we take this opportunity to announce a consistent, if not always clear-cut rule to be followed in future cases: both victim impact and victim character evidence are admissible, in the context of the mitigation special issue, to show the uniqueness of the victim, the harm caused by the defendant, and as rebuttal to the defendant's mitigating evidence."
1,"to the extent our opinion in boxx v. long warrior, 265 f.3d 771, 776 (9th cir. 2001), states that montana's first exception is limited to ""commercial dealing, contracts, leases, or other arrangements"" and that ""such [other] arrangements also must be of a commercial nature,"" we disapprove the statement."
0,"examples of parties that have been """"preclude[d] from intervening in a proceeding"""" per this agrico """"substantial interest"""" test are mid-chattahoochee river users, 948 so. 2d at 797, and city of sunrise, 615 so. 2d at 748two cases where the petitioners lacked standing for alleging mere economic injury, and not the kind of injury for which the proceeding was designed to protect, namely, the protection and conservation of water and related land sources."
1,"to the extent that any of these cases may be read for the proposition that the issue of a trial court's compliance with ocga  19615 is never subject to waiver, they are hereby disapproved."
0,"morris v. bank one, ind., n.a., 789 n.e.2d 68, 73 (ind. ct. app. 2003), trans."
1,precedent authorizing such inference is overruled.
1,"to the extent our statements in bullfrog marina, inc., eie, spears, and hall suggest that extrinsic evidence of a separate oral agreement is admissible where the contract contains a clear integration clause, we disavow them."
0,"see g. l. c. 131,  91. an appeal from a decision by an agency, pursuant to g. l. c. 30a,  14, must be filed in the superior court within thirty days of the issuance of the agency's determination."
0,"olson's plea colloquy reflects confusion; he admitted to both soliciting a minor whom he believed was 15 years old and a minor who was """"over the age of 16."""" due to this discrepancy, the district court concluded that olson had not provided a sufficient factual basis to support his guilty plea."
